,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
1,20.96,70.65,-83.06,0,,,,,,,,,
2,20.9,59.277,-83.04,0,,,,,,,,,
3,18.13,47.834,-83.03,0,,,,,,,,,
4,16.03,44.602,-83.02,0,,,,,,,,,
5,16.43,37.968,-83.01,0,,,,,,,,,
6,13.75,30.237,-83,0,,,,,,,,,
7,11.1,1.33E-05,-83,0,,,,,,,,,
8,15.47,8.5794,-81.95,0,,,,,,,,,
9,16.88,0.00011434,-80.07,0,,,,,,,,,
10,21.81,3.64E-06,-80,0,,,,,,,,,
11,26.24,30.237,-79.96,0,,,,,,,,,
12,26.42,34.647,-79.95,0,,,,,,,,,
13,27.66,35.193,-79.94,0,,,,,,,,,
14,28.7,43.251,-76.06,0,,,,,,,,,
15,29.66,44.602,-76.02,0,,,,,,,,,
16,35.33,45.872,-74.92,0,,,,,,,,,
17,44.12,47.462,-71.96,0,,,,,,,,,
18,51.59,66.348,-70.09,0,,,,,,,,,
19,53.95,59.277,-70.05,0,,,,,,,,,
20,50.97,47.462,-70.01,0,,,,,,,,,
21,44.93,47.462,-70.01,0,,,,,,,,,
22,38.83,44.258,-67.08,0,,,,,,,,,
23,42.17,33.617,-67.08,0,,,,,,,,,
24,33.06,2.23E-05,-67.07,0,,,,,,,,,
25,30.54,1.28E-06,-67.05,0,,,,,,,,,
26,28.91,1.91E-07,-67.02,0,,,,,,,,,
27,28.11,2.24E-07,-66.85,3.75E-08,,,,,,,,,
28,27.89,3.25E-07,-65,4.20E-08,,,,,,,,,
29,27.73,6.81E-05,-64.9,4.47E-08,,,,,,,,,
30,31.18,33.096,-62.95,4.51E-08,,,,,,,,,
31,37.99,40.731,-61.41,4.77E-08,,,,,,,,,
32,50.98,45.517,-61.14,5.76E-08,,,,,,,,,
33,53.88,55.756,-60.39,5.81E-08,,,,,,,,,
34,53.94,60.55,-55.99,5.83E-08,,,,,,,,,
35,53.54,60.55,-53.85,6.50E-08,,,,,,,,,
36,54.91,60.55,-53.42,6.73E-08,,,,,,,,,
37,54.08,60.55,-52.82,7.15E-08,,,,,,,,,
38,55.67,60.55,-49.99,7.26E-08,,,,,,,,,
39,55.98,60.55,-49.98,7.45E-08,,,,,,,,,
40,56,60.55,-49.97,7.78E-08,,,,,,,,,
41,57.77,61.24,-45.42,7.82E-08,,,,,,,,,
42,67.66,66.348,-43.18,8.25E-08,,,,,,,,,
43,55.1,66.348,-42.93,8.59E-08,,,,,,,,,
44,53.92,61.156,-40.84,9.67E-08,,,,,,,,,
45,49.07,60.55,-40.14,9.71E-08,,,,,,,,,
46,40.25,50.919,-38.19,9.95E-08,,,,,,,,,
47,45.92,44.338,-36.05,1.04E-07,,,,,,,,,
48,38.88,40.612,-32.58,1.04E-07,,,,,,,,,
49,36.02,33.1,-31.69,1.04E-07,,,,,,,,,
50,34.98,0.00042659,-31.42,1.14E-07,,,,,,,,,
51,33.64,0.00010637,-30.11,1.18E-07,,,,,,,,,
52,33.89,3.62E-06,-30.05,1.23E-07,,,,,,,,,
53,33.5,3.60E-07,-30.03,1.23E-07,,,,,,,,,
54,33.91,3.04E-07,-27.22,1.25E-07,,,,,,,,,
55,48.13,7.03E-06,-27.08,1.30E-07,,,,,,,,,
56,54.61,2.27E-05,-26.94,1.33E-07,,,,,,,,,
57,57.93,2.04E-05,-25,1.34E-07,,,,,,,,,
58,57.18,8.90E-06,-24.9,1.34E-07,,,,,,,,,
59,52.27,5.02E-07,-24.33,1.35E-07,,,,,,,,,
60,49.94,1.78E-07,-19.79,1.39E-07,,,,,,,,,
61,46.3,1.54E-07,-18,1.39E-07,,,,,,,,,
62,41.51,1.78E-07,-17.03,1.46E-07,,,,,,,,,
63,37.08,2.79E-07,-15.03,1.48E-07,,,,,,,,,
64,37.03,9.40E-07,-15.01,1.49E-07,,,,,,,,,
65,39.08,5.73E-06,-14.35,1.53E-07,,,,,,,,,
66,42.14,1.18E-05,-14.23,1.54E-07,,,,,,,,,
67,36.67,0.00040946,-13.38,1.59E-07,,,,,,,,,
68,36.03,6.81E-06,-13.02,1.59E-07,,,,,,,,,
69,33.55,5.55E-07,-12.93,1.61E-07,,,,,,,,,
70,24.56,2.61E-07,-12.12,1.65E-07,,,,,,,,,
71,17.77,1.18E-07,-12.01,1.67E-07,,,,,,,,,
72,9.49,7.82E-08,-11.9,1.67E-07,,,,,,,,,
73,8.5,1.04E-07,-11.88,1.67E-07,,,,,,,,,
74,-0.05,4.77E-08,-11.04,1.70E-07,,,,,,,,,
75,-6.27,6.50E-08,-9.94,1.74E-07,,,,,,,,,
76,-5.09,5.81E-08,-9.89,1.75E-07,,,,,,,,,
77,0.06,5.83E-08,-9.78,1.76E-07,,,,,,,,,
78,10.55,7.45E-08,-9.69,1.77E-07,,,,,,,,,
79,10.98,1.35E-07,-9.65,1.78E-07,,,,,,,,,
80,31.63,1.31E-06,-9.6,1.78E-07,,,,,,,,,
81,34.94,8.20E-06,-9.18,1.78E-07,,,,,,,,,
82,33.27,5.24E-06,-7.91,1.80E-07,,,,,,,,,
83,33.52,4.53E-06,-7.65,1.81E-07,,,,,,,,,
84,34.81,1.22E-06,-7.1,1.87E-07,,,,,,,,,
85,35.08,6.10E-07,-6.94,1.89E-07,,,,,,,,,
86,35.88,4.40E-07,-6.74,1.90E-07,,,,,,,,,
87,36.03,4.28E-07,-6.58,1.91E-07,,,,,,,,,
88,36.17,1.58E-06,-6.37,1.91E-07,,,,,,,,,
89,36.58,8.97E-06,-6.27,1.91E-07,,,,,,,,,
90,46.95,0.00016434,-6,1.97E-07,,,,,,,,,
91,49.45,6.88E-05,-5.15,2.00E-07,,,,,,,,,
92,48.37,1.12E-05,-5.09,2.01E-07,,,,,,,,,
93,38.02,8.79E-07,-5.03,2.07E-07,,,,,,,,,
94,34.55,3.79E-07,-4.99,2.08E-07,,,,,,,,,
95,33.33,1.04E-07,-4.99,2.08E-07,,,,,,,,,
96,32.05,7.78E-08,-4.98,2.09E-07,,,,,,,,,
97,36.07,6.73E-08,-4.97,2.10E-07,,,,,,,,,
98,36.32,4.47E-08,-4.96,2.11E-07,,,,,,,,,
99,30.99,3.75E-08,-4.94,2.11E-07,,,,,,,,,
100,30.97,4.20E-08,-4.92,2.12E-07,,,,,,,,,
101,35.64,4.51E-08,-4.83,2.16E-07,,,,,,,,,
102,35.73,5.76E-08,-4.02,2.21E-07,,,,,,,,,
103,39.03,8.25E-08,-4,2.22E-07,,,,,,,,,
104,51.7,3.09E-07,-3.71,2.24E-07,,,,,,,,,
105,57.98,1.61E-06,-3.57,2.31E-07,,,,,,,,,
106,54.11,2.25E-05,-3.24,2.33E-07,,,,,,,,,
107,53.13,6.93E-05,-3.23,2.35E-07,,,,,,,,,
108,50.06,8.42E-05,-2.77,2.43E-07,,,,,,,,,
109,49.97,8.37E-05,-2.37,2.43E-07,,,,,,,,,
110,48.84,7.64E-05,-2.32,2.49E-07,,,,,,,,,
111,50.99,9.03E-05,-2.04,2.51E-07,,,,,,,,,
112,57.48,7.34E-05,-1.9,2.54E-07,,,,,,,,,
113,69.7,8.66E-05,-1.7,2.54E-07,,,,,,,,,
114,73.92,0.00042289,-1.44,2.55E-07,,,,,,,,,
115,73.76,33.1,-1.35,2.59E-07,,,,,,,,,
116,65.15,0.0001223,-1.21,2.59E-07,,,,,,,,,
117,64.24,6.20E-05,-1.2,2.61E-07,,,,,,,,,
118,43.09,1.59E-06,-1.18,2.61E-07,,,,,,,,,
119,53.11,4.41E-07,-1.08,2.67E-07,,,,,,,,,
120,37.08,2.09E-07,-0.96,2.69E-07,,,,,,,,,
121,40.84,1.25E-07,-0.96,2.72E-07,,,,,,,,,
122,41.15,9.67E-08,-0.95,2.74E-07,,,,,,,,,
123,43.77,9.71E-08,-0.94,2.79E-07,,,,,,,,,
124,39.97,1.04E-07,-0.93,2.80E-07,,,,,,,,,
125,40.81,1.61E-07,-0.92,2.90E-07,,,,,,,,,
126,43.04,5.74E-07,-0.92,2.94E-07,,,,,,,,,
127,45.37,0.0006932,-0.91,3.00E-07,,,,,,,,,
128,49.49,37.481,-0.9,3.00E-07,,,,,,,,,
129,59.92,43.703,-0.86,3.02E-07,,,,,,,,,
130,60,46.854,-0.59,3.04E-07,,,,,,,,,
131,60.04,46.854,-0.54,3.04E-07,,,,,,,,,
132,57.7,46.854,-0.48,3.07E-07,,,,,,,,,
133,52.86,46.854,-0.27,3.07E-07,,,,,,,,,
134,50.05,46.854,-0.22,3.09E-07,,,,,,,,,
135,50.94,46.854,-0.15,3.15E-07,,,,,,,,,
136,54.04,47.464,-0.1,3.15E-07,,,,,,,,,
137,57.52,60.936,-0.09,3.18E-07,,,,,,,,,
138,64.91,67.295,-0.08,3.21E-07,,,,,,,,,
139,59.92,65.4,-0.07,3.23E-07,,,,,,,,,
140,57.99,60.936,-0.07,3.24E-07,,,,,,,,,
141,43.68,48.248,-0.05,3.25E-07,,,,,,,,,
142,38.46,43.98,-0.03,3.27E-07,,,,,,,,,
143,40.94,38.366,-0.03,3.36E-07,,,,,,,,,
144,35.89,34.704,-0.03,3.44E-07,,,,,,,,,
145,36.83,27.761,-0.02,3.45E-07,,,,,,,,,
146,34.37,7.9285,-0.01,3.51E-07,,,,,,,,,
147,33.84,4.127,0,3.52E-07,,,,,,,,,
148,33.83,4.10E-06,0,3.53E-07,,,,,,,,,
149,33.62,1.56E-06,0,3.55E-07,,,,,,,,,
150,32.96,7.28E-07,0.01,3.58E-07,,,,,,,,,
151,30.07,6.68E-07,0.01,3.60E-07,,,,,,,,,
152,33.58,1.15E-05,0.03,3.63E-07,,,,,,,,,
153,36.02,7.9286,0.03,3.79E-07,,,,,,,,,
154,36.86,7.9286,0.04,3.85E-07,,,,,,,,,
155,36.43,9.9113,0.06,3.90E-07,,,,,,,,,
156,39.01,9.9113,0.06,3.93E-07,,,,,,,,,
157,39.5,7.9286,0.06,3.97E-07,,,,,,,,,
158,39.02,7.9286,0.07,4.01E-07,,,,,,,,,
159,38.6,7.9286,0.08,4.01E-07,,,,,,,,,
160,39.28,7.9288,0.08,4.03E-07,,,,,,,,,
161,46.95,37.481,0.08,4.27E-07,,,,,,,,,
162,57.01,46.719,0.08,4.28E-07,,,,,,,,,
163,54.02,46.719,0.08,4.29E-07,,,,,,,,,
164,46.92,46.718,0.1,4.33E-07,,,,,,,,,
165,38.12,38.62,0.11,4.34E-07,,,,,,,,,
166,35.09,37.481,0.12,4.34E-07,,,,,,,,,
167,38.1,37.481,0.12,4.40E-07,,,,,,,,,
168,34.53,37.481,0.23,4.41E-07,,,,,,,,,
169,33.86,28.192,0.25,4.41E-07,,,,,,,,,
